"pointNum","accumDst","foo","elevation-n-vancouver","elevation-s-vancouver","value"
317,2536,,-2147483648,95,95
318,2544,,-2147483648,95,95
319,2552,,-2147483648,92,92
320,2560,,-2147483648,92,92
321,2568,,-2147483648,91,91
322,2576,,-2147483648,91,91
323,2584,,-2147483648,91,91
324,2592,,-2147483648,93,93
325,2600,,-2147483648,93,93
326,2608,,-2147483648,93,93
327,2616,,-2147483648,93,93
328,2624,,-2147483648,93,93
329,2632,,-2147483648,93,93
330,2640,,-2147483648,93,93
331,2648,,-2147483648,91,91
332,2656,,-2147483648,91,91
333,2664,,-2147483648,90,90
334,2672,,-2147483648,90,90
335,2680,,-2147483648,89,89
336,2688,,-2147483648,89,89
337,2696,,-2147483648,88,88
338,2704,,-2147483648,88,88
339,2712,,-2147483648,88,88
340,2720,,-2147483648,90,90
341,2728,,-2147483648,90,90
342,2736,,-2147483648,87,87
343,2744,,-2147483648,87,87
344,2752,,-2147483648,87,87
345,2760,,-2147483648,90,90
346,2768,,-2147483648,90,90
347,2776,,-2147483648,86,86
348,2784,,-2147483648,86,86
349,2792,,-2147483648,86,86
350,2800,,-2147483648,85,85
351,2808,,-2147483648,85,85
352,2816,,-2147483648,87,87
353,2824,,-2147483648,87,87
354,2832,,-2147483648,87,87
355,2840,,-2147483648,84,84
356,2848,,-2147483648,84,84
357,2856,,-2147483648,85,85
358,2864,,-2147483648,85,85
359,2872,,-2147483648,85,85
360,2880,,-2147483648,89,89
361,2888,,-2147483648,89,89
362,2896,,-2147483648,88,88
363,2904,,-2147483648,88,88
364,2912,,-2147483648,88,88
365,2920,,-2147483648,88,88
366,2928,,-2147483648,88,88
367,2936,,-2147483648,87,87
368,2944,,-2147483648,87,87
369,2952,,-2147483648,87,87
370,2960,,-2147483648,87,87
371,2968,,-2147483648,87,87
372,2976,,-2147483648,87,87
373,2984,,-2147483648,87,87
374,2992,,-2147483648,88,88
375,3000,,-2147483648,88,88
376,3008,,-2147483648,88,88
377,3016,,-2147483648,88,88
378,3024,,-2147483648,88,88
379,3032,,-2147483648,88,88
380,3040,,-2147483648,88,88
381,3048,,-2147483648,88,88
382,3056,,-2147483648,88,88
383,3064,,-2147483648,88,88
384,3072,,-2147483648,88,88
385,3080,,-2147483648,88,88
386,3088,,-2147483648,88,88
387,3096,,-2147483648,88,88
388,3104,,-2147483648,88,88
389,3112,,-2147483648,88,88
390,3120,,-2147483648,88,88
391,3128,,-2147483648,88,88
392,3136,,-2147483648,88,88
393,3144,,-2147483648,88,88
394,3152,,-2147483648,88,88
395,3160,,-2147483648,88,88
396,3168,,-2147483648,88,88
397,3176,,-2147483648,88,88
398,3184,,-2147483648,88,88
399,3192,,-2147483648,88,88
400,3200,,-2147483648,88,88
401,3208,,-2147483648,88,88
402,3216,,-2147483648,88,88
403,3224,,-2147483648,89,89
404,3232,,-2147483648,89,89
405,3240,,-2147483648,90,90
406,3248,,-2147483648,90,90
407,3256,,-2147483648,90,90
408,3264,,-2147483648,89,89
409,3272,,-2147483648,89,89
410,3280,,-2147483648,89,89
411,3288,,-2147483648,89,89
412,3296,,-2147483648,89,89
413,3304,,-2147483648,90,90
414,3312,,-2147483648,90,90
415,3320,,-2147483648,90,90
416,3328,,-2147483648,90,90
417,3336,,-2147483648,90,90
418,3344,,-2147483648,90,90
419,3352,,-2147483648,90,90
420,3360,,-2147483648,89,89
421,3368,,-2147483648,89,89
422,3376,,-2147483648,89,89
423,3384,,-2147483648,90,90
424,3392,,-2147483648,90,90
425,3400,,-2147483648,89,89
426,3408,,-2147483648,89,89
427,3416,,-2147483648,89,89
428,3424,,-2147483648,89,89
429,3432,,-2147483648,89,89
430,3440,,-2147483648,89,89
431,3448,,-2147483648,89,89
432,3456,,-2147483648,89,89
433,3464,,-2147483648,89,89
434,3472,,-2147483648,89,89
435,3480,,-2147483648,90,90
436,3488,,-2147483648,90,90
437,3496,,-2147483648,90,90
438,3504,,-2147483648,90,90
439,3512,,-2147483648,90,90
440,3520,,-2147483648,91,91
441,3528,,-2147483648,91,91
442,3536,,-2147483648,92,92
443,3544,,-2147483648,92,92
444,3552,,-2147483648,90,90
445,3560,,-2147483648,90,90
446,3568,,-2147483648,90,90
447,3576,,-2147483648,91,91
448,3584,,-2147483648,91,91
449,3592,,-2147483648,91,91
450,3600,,-2147483648,90,90
451,3608,,-2147483648,90,90
452,3616,,-2147483648,91,91
453,3624,,-2147483648,91,91
454,3632,,-2147483648,91,91
455,3640,,-2147483648,91,91
456,3648,,-2147483648,91,91
457,3656,,-2147483648,90,90
458,3664,,-2147483648,90,90
459,3672,,-2147483648,91,91
460,3680,,-2147483648,91,91
461,3688,,-2147483648,91,91
462,3696,,-2147483648,91,91
463,3704,,-2147483648,91,91
464,3712,,-2147483648,92,92
465,3720,,-2147483648,92,92
466,3728,,-2147483648,92,92
467,3736,,-2147483648,92,92
468,3744,,-2147483648,92,92
469,3752,,-2147483648,93,93
470,3760,,-2147483648,93,93
471,3768,,-2147483648,93,93
472,3776,,-2147483648,94,94
473,3784,,-2147483648,94,94
474,3792,,-2147483648,93,93
475,3800,,-2147483648,93,93
476,3808,,-2147483648,92,92
477,3816,,-2147483648,92,92
